node_id,lat,lon,type,frequency,ship_count,type_distribution,heading,heading_concentration,detailed_type
0,23.04430515504381,113.21174851658117,waypoint,563,1,"{'waypoint': 512, 'turn_point': 50, 'stop_point': 1}",0.012377075020555352,0.9949561066755397,turn_point
1,22.989444943101546,113.14425626507338,waypoint,104,2,{'waypoint': 104},267.7216725233792,0.9997016805411962,turn_point
2,23.095967614881555,113.42451051188448,turn_point,104,1,"{'turn_point': 93, 'waypoint': 9, 'stop_point': 2}",322.39356974129265,0.9902376851840888,turn_point
3,22.989169377036294,113.14176346891851,waypoint,95,89,{'waypoint': 95},258.04683153334895,0.34663478547386556,turn_point
4,23.00773012226699,113.16024225911931,waypoint,94,85,{'waypoint': 94},215.63662034410072,0.25403493151775,turn_point
5,23.006264426810567,113.15972373554915,waypoint,91,85,{'waypoint': 91},199.2328785462437,0.14474628172530565,turn_point
6,23.044794867455835,113.21577621734667,waypoint,85,76,"{'waypoint': 84, 'turn_point': 1}",84.65247629877028,0.30178259368374927,turn_point
7,23.01593023317205,113.19979853849667,waypoint,83,2,{'waypoint': 83},92.06385441202391,0.6148639509410316,turn_point
8,22.987240758846845,113.15925968703708,waypoint,81,67,"{'waypoint': 77, 'turn_point': 3, 'stop_point': 1}",221.71940489639283,0.7070913192544473,turn_point
9,23.050828125636635,113.27447688968007,waypoint,80,2,"{'waypoint': 74, 'turn_point': 5, 'stop_point': 1}",334.18949570233696,0.8156304014356545,turn_point
10,22.98872450208865,113.16006321614326,waypoint,79,2,{'waypoint': 79},192.2960288372867,0.9999820118791193,turn_point
11,23.000733610572382,113.16275102736742,waypoint,76,74,{'waypoint': 76},132.22326005000016,0.18883394789450206,turn_point
12,22.98899066773987,113.14128179851521,waypoint,75,2,{'waypoint': 75},250.34257464273594,0.2541239266408861,turn_point
13,23.00228042734273,113.05323892729585,waypoint,71,62,{'waypoint': 71},256.474750718908,0.18392379394197036,turn_point
14,23.004707190965537,113.15978979921192,waypoint,71,66,{'waypoint': 71},166.7908265919115,0.3508780009846782,turn_point
15,23.044725078205605,113.21424954558896,waypoint,70,64,{'waypoint': 70},261.3692802390274,0.23871388063606366,turn_point
16,22.98627758073853,113.15672445624847,waypoint,69,61,{'waypoint': 69},101.86192170944882,0.2730239504445914,turn_point
17,23.00280979753063,113.05521612538725,waypoint,68,62,{'waypoint': 68},235.29468458475571,0.028351541087439373,turn_point
18,23.044272501035255,113.21374287650411,waypoint,68,66,{'waypoint': 68},58.33765421659703,0.13776529873586618,turn_point
19,22.981241221140603,113.08527622777396,waypoint,67,63,{'waypoint': 67},150.17594002946072,0.052477035878865895,turn_point
20,22.989051956854496,113.14718274182894,waypoint,67,2,{'waypoint': 67},284.50479793580905,0.7318321975908173,turn_point
21,22.98725161742835,113.15973342870709,waypoint,66,54,{'waypoint': 66},43.167363325968594,0.6046953164181794,turn_point
22,22.988268500157368,113.16027733367335,waypoint,66,59,{'waypoint': 66},21.295619831619486,0.3025525004912628,turn_point
23,22.98630620574923,113.15823379501015,waypoint,65,58,"{'waypoint': 64, 'turn_point': 1}",78.80282565835057,0.4473114246381235,turn_point
24,22.986773970853292,113.15874349991734,waypoint,65,59,"{'waypoint': 64, 'turn_point': 1}",231.17067974756526,0.2925443563301685,turn_point
25,22.986677890240664,113.15623261642311,waypoint,63,60,{'waypoint': 63},284.4341712095808,0.7739190245044757,turn_point
26,23.04473728705364,113.21477752897479,waypoint,63,56,{'waypoint': 63},76.82757734947535,0.20899483258231652,turn_point
27,22.98922635501559,113.14222212563084,waypoint,62,60,{'waypoint': 62},262.0712880795938,0.29019628244513856,turn_point
28,22.993251122901892,113.16122149938917,waypoint,62,60,{'waypoint': 62},12.99145943690715,0.09632420510435552,turn_point
29,22.99921707397243,113.16327910704865,waypoint,62,54,"{'waypoint': 61, 'turn_point': 1}",191.5674145174203,0.16038107157457332,turn_point
30,23.002720978365964,113.0547919435847,waypoint,62,59,{'waypoint': 62},243.38701251706422,0.2575319584216635,turn_point
31,23.005061239173774,113.06025379215305,waypoint,62,2,{'waypoint': 62},247.46743512205165,0.48392632834277705,turn_point
32,23.00579318011612,113.15973191064246,waypoint,62,57,{'waypoint': 62},352.81379290400776,0.13064407103559458,turn_point
33,23.019758615077947,113.18372776603859,waypoint,62,62,{'waypoint': 62},122.68833945985932,0.09845630370583199,turn_point
