ship_name,ship_type,max_speed,avg_speed,record_count,inferred_type,length,width,draft,height,tonnage,mmsi,imo,data_source,net_tonnage,deadweight,depth,shipyard,build_year,class_notation,ccs_status,me_power_kw,dwt_source
东运628,货船,9.7,4.578892733564014,3468,小型货船,59,13,,15,3000,413876838,0.0,shipxy,,1667.6,,,,,not_found,,regression_m2
中国海监9008,执法船,17.2,11.20498338870432,301,集装箱船,17,4,,40,35000,411484108,,shipxy,,300.0,,,,,not_found,,regression_m2_clipped
丰年95,集装箱船,8.7,4.629981308411215,2675,小型货船,60,18,3.8,15,3000,413906648,0.0,shipxy,,2983.4,,,,,not_found,,regression_m5
仕泰供水1,货船,13.7,3.905998687787047,10669,中型货船,47,11,,25,15000,413514704,0.0,shipxy,,461.0,,,,,not_found,,regression_m2
佳航99,货船,0.9,0.0089149965445749,2894,拖船,105,16,4.3,10,300,413849155,0.0,shipxy,,5476.9,,,,,not_found,,regression_m5
俊兴8,货船,7.5,3.271799248890406,5858,渔船,74,16,,8,200,413847301,0.0,shipxy,,3477.6,,,,,not_found,,regression_m2
保利318,货船,10.3,6.448342478280749,8748,小型货船,56,9,3.1,15,3000,413620170,0.0,shipxy,,952.2,,,,,not_found,,regression_m5
信息时报号,客船,10.2,3.971371610845295,5016,小型货船,43,13,2.1,15,817,413762693,0.0,shipxy,490.0,69.0,2.85,广东江门船厂有限公司,2003.0,★_CSAD,found,474.0,ccs
信远555,货船,12.2,4.079377958079784,2958,中型货船,85,16,4.5,25,15000,413884172,0.0,shipxy,,4594.6,,,,,not_found,,regression_m5
信远888,货船,8.2,3.1458633776091074,5270,小型货船,61,13,3.6,15,3000,413872678,0.0,shipxy,,1985.0,,,,,not_found,,regression_m5
兴龙舟266,液体散货,9.9,6.259294276549047,5923,小型货船,53,10,2.8,15,3000,413438695,,shipxy,,889.5,,,,,not_found,,regression_m5
冠洋639,货船,7.4,4.295160031225604,3843,渔船,71,16,,8,200,413870411,0.0,shipxy,,3477.6,,,,,not_found,,regression_m2
凯翔568,货船,8.2,4.390395378227117,5539,小型货船,75,15,3.9,15,3000,413845026,0.0,shipxy,,3210.0,,,,,not_found,,regression_m5
凯翔638,货船,8.0,5.437485380116958,1710,小型货船,57,13,,15,3000,413906985,0.0,shipxy,,1667.6,,,,,not_found,,regression_m2
利昌522,货船,21.7,1.313787234042553,1175,大型集装箱船,61,13,,50,100000,413774405,0.0,shipxy,,1667.6,,,,,not_found,,regression_m2
利航005,集装箱船,7.2,4.774766355140187,2782,渔船,50,13,1.0,8,200,413994916,0.0,shipxy,,300.0,,,,,not_found,,regression_m5_clipped
利航366,货船,8.8,5.241944990176816,1018,小型货船,87,19,4.3,15,3000,413906072,0.0,shipxy,,5384.1,,,,,not_found,,regression_m5
利鑫8678,货船,8.2,2.4280187573270813,853,小型货船,72,16,,15,3000,413872446,0.0,shipxy,,3477.6,,,,,not_found,,regression_m2
利鑫88,货船,6.1,4.737479270315091,1809,渔船,68,14,3.5,8,200,413870006,0.0,shipxy,,2366.4,,,,,not_found,,regression_m5
华泰6882,货船,7.8,3.723527721918989,3481,渔船,50,13,1.5,8,200,413839808,0.0,shipxy,,482.7,,,,,not_found,,regression_m5
华海6688,货船,5.9,0.7810643564356436,808,拖船,59,11,21.8,10,300,413849748,0.0,shipxy,,8000.0,,,,,not_found,,regression_m5_clipped
华远806,货船,9.4,4.019047619047619,3339,小型货船,72,14,1.3,15,3000,413864795,0.0,shipxy,,750.8,,,,,not_found,,regression_m5
南南燃油36,油轮,7.0,5.396417910447761,4355,渔船,85,16,3.9,8,1996,413870149,0.0,shipxy,1117.0,3572.0,4.78,江门市港作船舶工程有限公司,2022.0,★CSAD,found,440.0,ccs
南和油26,油轮,10.0,4.516484716157205,2748,小型货船,68,14,3.03,15,1365,413837809,0.0,shipxy,764.0,1643.0,4.6,佛山市顺德区陈村镇粤航造船厂,2019.0,★CSAD,found,764.0,ccs
南海神广州日报,客船,9.7,1.5994750656167978,4191,小型货船,48,13,2.3,15,890,413762694,,shipxy,534.0,132.0,3.6,广东江门船厂有限公司,2006.0,★_CSAD,found,542.0,ccs
南源8566,货船,6.1,1.0365122615803817,367,渔船,50,13,,8,200,413979369,0.0,shipxy,,1667.6,,,,,not_found,,regression_m2
南翔1832,货船,7.0,3.989621659146129,5762,渔船,57,12,,8,200,413906219,0.0,shipxy,,1064.3,,,,,not_found,,regression_m2
南翔6338,货船,5.8,4.1050304259634895,2465,拖船,49,12,,10,300,413955568,0.0,shipxy,,1064.3,,,,,not_found,,regression_m2
南通8689,货船,7.8,1.7734246575342467,2190,渔船,59,13,1.0,8,200,413857481,0.0,shipxy,,316.5,,,,,not_found,,regression_m5
南通989,货船,5.5,0.62125,960,拖船,56,11,2.5,10,300,413857479,0.0,shipxy,,934.3,,,,,not_found,,regression_m5
博石运113,货船,9.3,2.0160484481453445,2642,小型货船,50,13,,15,3000,413970106,0.0,shipxy,,1667.6,,,,,not_found,,regression_m2
厚德美39,油轮,10.5,4.506803555010727,3263,小型货船,53,10,2.6,15,3000,413490760,0.0,shipxy,,804.8,,,,,not_found,,regression_m5
双鱼星辰,游艇,10.6,7.834451219512195,328,小型货船,24,9,,15,3000,413561380,0.0,shipxy,,300.0,,,,,not_found,,regression_m2_clipped
和润858,货船,8.6,2.5434497816593886,3206,小型货船,61,13,3.5,15,3000,413884937,0.0,shipxy,,1921.7,,,,,not_found,,regression_m5
圣兴18,货船,9.4,0.7153212520593081,1214,小型货船,112,16,6.5,15,3000,413273013,0.0,shipxy,,8000.0,,,,,not_found,,regression_m5_clipped
大福002,货船,6.1,0.7614035087719299,285,渔船,61,13,3.5,8,200,413882171,0.0,shipxy,,1921.7,,,,,not_found,,regression_m5
大福006,货船,6.0,4.167072599531616,2135,渔船,78,16,,8,200,413786611,0.0,shipxy,,3477.6,,,,,not_found,,regression_m2
大福8688,货船,7.5,3.116429014259144,1613,渔船,78,16,1.5,8,200,413876835,0.0,shipxy,,1199.6,,,,,not_found,,regression_m5
大通11,集装箱船,8.2,3.1247126436781607,522,小型货船,70,16,3.0,15,3000,413762508,0.0,shipxy,,2388.8,,,,,not_found,,regression_m5
天力7866,货船,10.1,2.3400267201068807,7485,小型货船,83,18,4.2,15,3000,413906207,0.0,shipxy,,4718.3,,,,,not_found,,regression_m5
安盈3688,货船,7.1,3.8764906580016247,6155,渔船,59,13,,8,200,413872686,0.0,shipxy,,1667.6,,,,,not_found,,regression_m2
安顺9999,货船,7.1,4.149080921191634,4733,渔船,53,10,8.0,8,200,413955665,0.0,shipxy,,3092.1,,,,,not_found,,regression_m5
富航6699,货船,8.1,3.14175582127124,3178,小型货船,78,16,4.5,15,3000,413869375,0.0,shipxy,,4191.8,,,,,not_found,,regression_m5
封开德勤2188,货船,6.8,3.636461414358698,3719,渔船,56,13,3.6,8,200,413906031,0.0,shipxy,,1798.0,,,,,not_found,,regression_m5
封开德勤666,货船,7.4,4.463934426229509,6222,渔船,74,14,1.6,8,200,413845472,0.0,shipxy,,1028.2,,,,,not_found,,regression_m5
封开润业8228,货船,9.4,5.212930281320985,5723,小型货船,49,11,,15,3000,413906997,0.0,shipxy,,461.0,,,,,not_found,,regression_m2
封开粤兴666,货船,7.0,3.7964129756706178,6412,渔船,67,13,13.5,8,200,413906218,0.0,shipxy,,8000.0,,,,,not_found,,regression_m5_clipped
封开长兴928,货船,8.7,5.042087984241629,9138,小型货船,49,11,3.0,15,3000,413996761,0.0,shipxy,,995.8,,,,,not_found,,regression_m5
尖鹰水泥027,货船,8.6,4.115969733174034,2511,小型货船,50,11,,15,3000,413996545,0.0,shipxy,,461.0,,,,,not_found,,regression_m2
川和311,油轮,10.0,5.478780401832922,5674,小型货船,60,13,3.15,15,996,413786077,0.0,shipxy,557.0,1552.0,4.2,佛山市三水区西南街新沙船厂,2025.0,★CSA,found,436.0,ccs
帆星02,货船,10.1,5.006378986866791,4264,小型货船,78,16,,15,3000,413872685,0.0,shipxy,,3477.6,,,,,not_found,,regression_m2
平南华翔309,货船,9.1,4.183625358394393,3139,小型货船,56,11,22.4,15,3000,413996842,0.0,shipxy,,8000.0,,,,,not_found,,regression_m5_clipped
平南华翔673,货船,6.4,3.197411869701026,2241,渔船,50,11,,8,200,413996881,0.0,shipxy,,461.0,,,,,not_found,,regression_m2
平南华翔722,货船,9.1,4.418469601677149,4770,小型货船,57,11,2.4,15,3000,413906732,0.0,shipxy,,906.1,,,,,not_found,,regression_m5
平南华翔855,货船,24.0,3.931726907630522,4482,大型集装箱船,57,11,3.2,50,100000,413996724,0.0,shipxy,,1307.0,,,,,not_found,,regression_m5
平南华顺1132,货船,13.7,3.886584732560152,5777,中型货船,71,14,0.7,25,15000,413837275,0.0,shipxy,,300.0,,,,,not_found,,regression_m5_clipped
平南富伟6168,货船,8.1,4.764210526315789,3230,小型货船,78,16,,15,3000,413872632,0.0,shipxy,,3477.6,,,,,not_found,,regression_m2
平南景丰303,货船,7.3,2.226905487804878,2624,渔船,52,10,,8,200,413906526,0.0,shipxy,,300.0,,,,,not_found,,regression_m2_clipped
平南荣达2688,货船,11.3,3.5876630243214658,2837,小型货船,78,16,4.7,15,3000,413882404,0.0,shipxy,,4391.3,,,,,not_found,,regression_m5
平南荣达399,货船,6.2,2.563896201579541,2659,渔船,57,13,,8,200,413839728,0.0,shipxy,,1667.6,,,,,not_found,,regression_m2
平南雄力1612,货船,6.1,3.592752769267028,8486,渔船,82,16,4.7,8,200,413884829,0.0,shipxy,,4631.7,,,,,not_found,,regression_m5
